Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,Test R2
Tuned Random Forest,25.51125170657148,41.78541146281101,48.41224807590299,72.66015505555346,0.7818102603298487,0.514837975864354
Random Forest,41.77056237386628,44.388125578048296,75.6461599646272,78.75618153392011,0.46728172257924805,0.43001495447583615
Ridge Regression,45.33092295222359,45.74179877839321,80.05361008502071,80.03961319593407,0.40339667814076874,0.4112863290036538
Extra Trees,45.06562951834165,46.26507553636706,80.93555339370309,81.98733297058293,0.39017881845414093,0.3822856691947605
